method,round,rounds,protocol,backend,press,scorer,selector,operator,domain,n_scenes,valid_scenes,pdm,pdm_std,trajectory_l2,trajectory_l2_std,endpoint_l2,endpoint_l2_std,K_mean,K_std,n_candidate_mean,eligible_keep_ratio_mean,history_keep_ratio_mean,theoretical_attn_ratio_mean,k_length_before_mean,k_length_after_mean,v_length_after_mean,selector_latency_ms_mean,selector_latency_ms_std,model_latency_ms_mean,model_latency_ms_std,e2e_latency_ms_mean,e2e_latency_ms_std,peak_memory_mb_mean,peak_memory_mb_std,peak_memory_mb_max,run_dir
causal_attention_vnorm_zero,all,3,causal,synthetic,scorer_press,action_attention_vnorm,topk,zero,last_history,12,12,0.9884641120831171,0.007961707925093266,0.011632853730892142,0.008089617006751034,0.011207471485249698,0.006559031995017425,6.0,0.0,12.0,0.5,0.25,,,,,11.20580236117045,0.32703174047015965,1.807160000006358,0.10608717146357599,20.97269328435262,2.803967139306811,8.2022705078125,0.002429168547623584,8.20361328125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite
causal_attention_zero,all,3,causal,synthetic,scorer_press,action_attention,topk,zero,last_history,12,12,0.9884241918722788,0.008341887721115628,0.011676147075680396,0.008471592076064427,0.011437900742748752,0.0071926762169278605,6.0,0.0,12.0,0.5,0.25,,,,,19.71611597885688,31.970286533931727,1.7494506537914276,0.18002945572597454,31.110061486562092,31.942324453693644,8.2022705078125,0.002429168547623584,8.20361328125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite
causal_gradient_input_zero,all,3,causal,synthetic,scorer_press,gradient_input,topk,zero,last_history,12,12,0.9884875317414602,0.006226535875727269,0.011597545468248427,0.006326749793142104,0.010990666565097248,0.006276217562544105,6.0,0.0,12.0,0.5,0.25,,,,,9.04340964431564,0.09269736206173429,1.761632005373637,0.2491330376229133,19.210909446080525,1.9612424505198196,8.2213134765625,0.002429168547623584,8.22265625,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite
causal_gradient_norm_zero,all,3,causal,synthetic,scorer_press,gradient_norm,topk,zero,last_history,12,12,0.989354188243548,0.006547249473022852,0.010723032581154257,0.006638231611833645,0.01065611795153624,0.006672341702516502,6.0,0.0,12.0,0.5,0.25,,,,,9.911551140248775,4.147327325598881,1.7584506769975026,0.08128999879286922,21.323856035868328,4.120474675833763,8.2159423828125,0.002429168547623584,8.21728515625,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite
causal_no_press,all,3,causal,synthetic,noop,,,identity,last_history,12,12,0.989009032646815,0.006046495649324175,0.011069022895147404,0.006135719140154127,0.010487137915333733,0.006028524791484735,12.0,0.0,12.0,1.0,0.5,,,,,3.3136974088847637,5.070604432528673,2.0656746476112553,7.060998686206677,9.757181306680044,12.193949860284965,5.479288736979167,4.000473511685188,8.18798828125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite
causal_random_mean,all,3,causal,synthetic,scorer_press,random,topk,mean,last_history,12,12,0.989327276746432,0.007132061037004635,0.010753981114248745,0.007225770182231701,0.010046646903598836,0.007220757441664725,6.0,0.0,12.0,0.5,0.25,,,,,4.209456344445546,0.5892785344368263,1.9761919894566138,0.5895997167122161,15.332605202992758,5.797452574126469,5.495402018229167,4.0004741943484285,8.205078125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite
causal_random_shuffle_all,all,3,causal,synthetic,scorer_press,random,topk,shuffle_all,last_history,12,12,0.989009032646815,0.006046495649324175,0.011069023671249548,0.006135719267583545,0.010487137837723518,0.006028524796600178,6.0,0.0,12.0,0.5,0.25,,,,,4.213344305753708,0.6191039242374562,2.1521013180414834,0.048611289670721085,15.740112026532492,11.139632173849213,5.493448893229167,4.0004741943484285,8.203125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite
causal_random_shuffle_drop,all,3,causal,synthetic,scorer_press,random,topk,shuffle_drop,last_history,12,12,0.989009032646815,0.006046495649324175,0.011069023050367832,0.0061357190893876895,0.010487137915333733,0.006028524791484735,6.0,0.0,12.0,0.5,0.25,,,,,4.2253220453858376,0.6033779590791947,2.185754636923472,0.08413204352575175,12.84166387716929,1.821145803532301,5.493937174479167,4.0004741943484285,8.20361328125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite
causal_random_shuffle_keep,all,3,causal,synthetic,scorer_press,random,topk,shuffle_keep,last_history,12,12,0.989009032646815,0.006046495649324175,0.011069022895147404,0.0061357191260128585,0.010487137915333733,0.006028524791484735,6.0,0.0,12.0,0.5,0.25,,,,,3.8802423514425755,1.2757127388417056,1.6590160218377907,0.9065344003107909,11.238202686111132,3.889090677405226,5.493448893229167,4.0004741943484285,8.203125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite
causal_random_zero,all,3,causal,synthetic,scorer_press,random,topk,zero,last_history,12,12,0.9888987094163895,0.007454794631074374,0.011189591197762638,0.007576890503548543,0.010154248962256437,0.006503988300141532,6.0,0.0,12.0,0.5,0.25,,,,,6.677863808969657,8.050905790130702,1.7846853211522102,0.7459845549628492,51.285817543665566,124.29655921442051,5.493937174479167,4.0004741943484285,8.20361328125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite
causal_token_norm_mean,all,3,causal,synthetic,scorer_press,token_norm,topk,mean,last_history,12,12,0.9891982823610306,0.006695766779621659,0.010881583749627074,0.006793658437727356,0.010453235115467882,0.006731007739302142,6.0,0.0,12.0,0.5,0.25,,,,,4.39229824890693,0.10053612984919033,1.9943146562824647,0.5976131782179467,14.926224072774252,2.0530463949085473,5.495402018229167,4.0004741943484285,8.205078125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite
causal_token_norm_zero,all,3,causal,synthetic,scorer_press,token_norm,topk,zero,last_history,12,12,0.9894144336382548,0.006563449770236107,0.010662253169963757,0.006656538192424129,0.010310075182739334,0.006422640352621068,6.0,0.0,12.0,0.5,0.25,,,,,4.260127277423938,0.49842613748545467,2.174570699532827,0.027688256459814684,14.961448113123575,1.97587733692625,5.493937174479167,4.0004741943484285,8.20361328125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite
