method,round,rounds,protocol,backend,press,scorer,selector,operator,domain,n_scenes,valid_scenes,pdm,pdm_std,trajectory_l2,trajectory_l2_std,endpoint_l2,endpoint_l2_std,K_mean,K_std,n_candidate_mean,eligible_keep_ratio_mean,history_keep_ratio_mean,theoretical_attn_ratio_mean,k_length_before_mean,k_length_after_mean,v_length_after_mean,selector_latency_ms_mean,selector_latency_ms_std,model_latency_ms_mean,model_latency_ms_std,e2e_latency_ms_mean,e2e_latency_ms_std,peak_memory_mb_mean,peak_memory_mb_std,peak_memory_mb_max,run_dir
causal_no_press,0,,causal,synthetic,noop,,,identity,last_history,4,4,0.9860103279352188,0.00832028176208831,0.01411521586123854,0.00845428344029973,0.0143931939965114,0.006671906366114997,12.0,0.0,12.0,1.0,0.5,,,,,6.210546940565109,8.74673700727664,6.1317119433078915,12.236799886915833,17.00434398651123,20.878505714741717,0.0626220703125,0.000732421875,0.06298828125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite/round_00/causal_no_press
causal_random_zero,0,,causal,synthetic,scorer_press,random,topk,zero,last_history,4,4,0.9863854944705963,0.010028791414379833,0.013747056247666478,0.010216590017570883,0.011533208627952263,0.007483412973158349,6.0,0.0,12.0,0.5,0.25,,,,,11.24452892690897,13.99818843402985,2.009288012981415,0.15601217349478103,123.38470840454102,215.0590618981337,0.0772705078125,0.002685546875,0.07861328125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite/round_00/causal_random_zero
causal_random_mean,0,,causal,synthetic,scorer_press,random,topk,mean,last_history,4,4,0.9858365803956985,0.008537854247078772,0.014292894513346255,0.008679487042840071,0.01504797418601811,0.0066793155042529405,6.0,0.0,12.0,0.5,0.25,,,,,4.347517155110836,0.12854448314356595,1.6216960307210684,1.011269754521606,17.638399600982666,9.670611426134377,0.0787353515625,0.002685546875,0.080078125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite/round_00/causal_random_mean
causal_random_shuffle_all,0,,causal,synthetic,scorer_press,random,topk,shuffle_all,last_history,4,4,0.9860103279352188,0.00832028176208831,0.014115215395577252,0.00845428383518329,0.014393193763680756,0.006671906564809953,6.0,0.0,12.0,0.5,0.25,,,,,4.361329134553671,0.0844032352106903,2.1155839562416077,0.07430581480802062,22.854496240615845,18.434364753407106,0.0767822265625,0.002685546875,0.078125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite/round_00/causal_random_shuffle_all
causal_random_shuffle_drop,0,,causal,synthetic,scorer_press,random,topk,shuffle_drop,last_history,4,4,0.9860103279352188,0.00832028176208831,0.01411521586123854,0.00845428344029973,0.0143931939965114,0.006671906366114997,6.0,0.0,12.0,0.5,0.25,,,,,4.4178138487041,0.1393603685359813,2.1963359713554382,0.09019928403563574,13.628575801849365,0.10627173750838605,0.0772705078125,0.002685546875,0.07861328125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite/round_00/causal_random_shuffle_drop
causal_random_shuffle_keep,0,,causal,synthetic,scorer_press,random,topk,shuffle_keep,last_history,4,4,0.9860103279352188,0.00832028176208831,0.01411521586123854,0.00845428344029973,0.0143931939965114,0.006671906366114997,6.0,0.0,12.0,0.5,0.25,,,,,4.369710106402636,0.05366817266573189,1.643207997083664,1.0221083931649118,12.442879915237427,1.902138424269685,0.0767822265625,0.002685546875,0.078125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite/round_00/causal_random_shuffle_keep
causal_token_norm_zero,0,,causal,synthetic,scorer_press,token_norm,topk,zero,last_history,4,4,0.9863084405660629,0.00905507118267201,0.013817848870530725,0.009201454780792193,0.012773523718351498,0.007853788619769682,6.0,0.0,12.0,0.5,0.25,,,,,4.403165075927973,0.058026664632240654,2.167280077934265,0.025277033441819835,14.688008069992065,1.9943938022227756,0.0772705078125,0.002685546875,0.07861328125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite/round_00/causal_token_norm_zero
causal_token_norm_mean,0,,causal,synthetic,scorer_press,token_norm,topk,mean,last_history,4,4,0.9861574918031693,0.010151400469584257,0.013979040668345988,0.010312773357125953,0.01394438254646957,0.00886035332246758,6.0,0.0,12.0,0.5,0.25,,,,,4.358919337391853,0.12631284177256483,1.6389280129224062,1.0259753383979109,14.130216121673584,3.030613008061451,0.0787353515625,0.002685546875,0.080078125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite/round_00/causal_token_norm_mean
causal_attention_zero,0,,causal,synthetic,scorer_press,action_attention,topk,zero,last_history,4,4,0.9838815182447433,0.010334629380742644,0.01629133604001254,0.010533137484667592,0.01567167427856475,0.005998193010346719,6.0,0.0,12.0,0.5,0.25,,,,,36.7495259270072,56.27958344772777,1.7021839916706085,0.2527607889085575,48.031792640686035,56.28822775837208,8.2022705078125,0.002685546875,8.20361328125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite/round_00/causal_attention_zero
causal_attention_vnorm_zero,0,,causal,synthetic,scorer_press,action_attention_vnorm,topk,zero,last_history,4,4,0.985371857881546,0.010756521672180355,0.014781150850467384,0.010965549052849827,0.013610186870209873,0.005623662635657088,6.0,0.0,12.0,0.5,0.25,,,,,11.446253396570683,0.06683100993470144,1.7481679916381836,0.09046310900222325,22.720832347869873,0.06577413717834467,8.2022705078125,0.002685546875,8.20361328125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite/round_00/causal_attention_vnorm_zero
