method,round,rounds,protocol,backend,press,scorer,selector,operator,domain,n_scenes,valid_scenes,pdm,pdm_std,trajectory_l2,trajectory_l2_std,endpoint_l2,endpoint_l2_std,K_mean,K_std,n_candidate_mean,eligible_keep_ratio_mean,history_keep_ratio_mean,theoretical_attn_ratio_mean,k_length_before_mean,k_length_after_mean,v_length_after_mean,selector_latency_ms_mean,selector_latency_ms_std,model_latency_ms_mean,model_latency_ms_std,e2e_latency_ms_mean,e2e_latency_ms_std,peak_memory_mb_mean,peak_memory_mb_std,peak_memory_mb_max,run_dir
causal_no_press,0,,causal,synthetic,noop,,,,,1,1,0.9934957027435303,0.0,0.006525558885186911,0.0,0.007773153018206358,0.0,12.0,0.0,12.0,1.0,0.5,,,,,0.6198529154062271,0.0,0.4835203289985657,0.0,1.2112800031900406,0.0,0.0,0.0,0.0,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite_smoke_rerun01/round_00/causal_no_press
causal_random_zero,0,,causal,synthetic,scorer_press,random,topk,zero,last_history,1,1,0.9951669573783875,0.0,0.0048447768203914165,0.0,0.0025850380770862103,0.0,6.0,0.0,12.0,0.5,0.25,,,,,0.49455277621746063,0.0,0.12019649147987366,0.0,1.0063610970973969,0.0,0.0,0.0,0.0,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite_smoke_rerun01/round_00/causal_random_zero
causal_random_mean,0,,causal,synthetic,scorer_press,random,topk,mean,last_history,1,1,0.9923328757286072,0.0,0.007696698885411024,0.0,0.009454688057303429,0.0,6.0,0.0,12.0,0.5,0.25,,,,,0.4786308854818344,0.0,0.18829479813575745,0.0,1.2127440422773361,0.0,0.0,0.0,0.0,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite_smoke_rerun01/round_00/causal_random_mean
causal_random_shuffle_all,0,,causal,synthetic,scorer_press,random,topk,shuffle_all,last_history,1,1,0.9934957027435303,0.0,0.006525558885186911,0.0,0.007773153018206358,0.0,6.0,0.0,12.0,0.5,0.25,,,,,0.2920106053352356,0.0,0.12494809925556183,0.0,0.7626805454492569,0.0,0.0,0.0,0.0,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite_smoke_rerun01/round_00/causal_random_shuffle_all
causal_random_shuffle_drop,0,,causal,synthetic,scorer_press,random,topk,shuffle_drop,last_history,1,1,0.9934957027435303,0.0,0.006525558885186911,0.0,0.007773153018206358,0.0,6.0,0.0,12.0,0.5,0.25,,,,,0.4460122436285019,0.0,0.2140682190656662,0.0,1.1551249772310257,0.0,0.0,0.0,0.0,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite_smoke_rerun01/round_00/causal_random_shuffle_drop
causal_random_shuffle_keep,0,,causal,synthetic,scorer_press,random,topk,shuffle_keep,last_history,1,1,0.9934957027435303,0.0,0.006525558885186911,0.0,0.007773153018206358,0.0,6.0,0.0,12.0,0.5,0.25,,,,,0.45823678374290466,0.0,0.22000260651111603,0.0,1.1435318738222122,0.0,0.0,0.0,0.0,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite_smoke_rerun01/round_00/causal_random_shuffle_keep
causal_token_norm_zero,0,,causal,synthetic,scorer_press,token_norm,topk,zero,last_history,1,1,0.9955922961235046,0.0,0.00441741943359375,0.0,0.0016544664977118373,0.0,6.0,0.0,12.0,0.5,0.25,,,,,0.37973374128341675,0.0,0.2052653580904007,0.0,1.0292697697877884,0.0,0.0,0.0,0.0,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite_smoke_rerun01/round_00/causal_token_norm_zero
causal_token_norm_mean,0,,causal,synthetic,scorer_press,token_norm,topk,mean,last_history,1,1,0.9955145120620728,0.0,0.004495550878345966,0.0,0.004900769796222448,0.0,6.0,0.0,12.0,0.5,0.25,,,,,0.2409573644399643,0.0,0.09861961007118225,0.0,0.6275344640016556,0.0,0.0,0.0,0.0,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite_smoke_rerun01/round_00/causal_token_norm_mean
causal_attention_zero,0,,causal,synthetic,scorer_press,action_attention,topk,zero,last_history,1,1,0.9939720034599304,0.0,0.006046233233064413,0.0,0.007241705898195505,0.0,6.0,0.0,12.0,0.5,0.25,,,,,8.804969489574432,0.0,0.11691637337207794,0.0,9.917279705405235,0.0,0.0,0.0,0.0,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite_smoke_rerun01/round_00/causal_attention_zero
causal_attention_vnorm_zero,0,,causal,synthetic,scorer_press,action_attention_vnorm,topk,zero,last_history,1,1,0.9939720034599304,0.0,0.006046233233064413,0.0,0.007241705898195505,0.0,6.0,0.0,12.0,0.5,0.25,,,,,1.3205800205469131,0.0,0.10217912495136261,0.0,2.134036272764206,0.0,0.0,0.0,0.0,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/full_compression_suite_smoke_rerun01/round_00/causal_attention_vnorm_zero
