method,round,rounds,protocol,backend,press,scorer,selector,operator,domain,n_scenes,valid_scenes,pdm,pdm_std,trajectory_l2,trajectory_l2_std,endpoint_l2,endpoint_l2_std,K_mean,K_std,n_candidate_mean,eligible_keep_ratio_mean,history_keep_ratio_mean,theoretical_attn_ratio_mean,k_length_before_mean,k_length_after_mean,v_length_after_mean,selector_latency_ms_mean,selector_latency_ms_std,model_latency_ms_mean,model_latency_ms_std,e2e_latency_ms_mean,e2e_latency_ms_std,peak_memory_mb_mean,peak_memory_mb_std,peak_memory_mb_max,run_dir
causal_no_press,1,,causal,official_navsim,noop,,,,,1,1,0.9512727025928535,0.0,,,,,,,,,,,,,,0.0,0.0,1463.0972798913717,0.0,1463.0972798913717,0.0,23286.720703125,0.0,23286.720703125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/official_all_methods_smoke/round01/causal_no_press
causal_random_zero,1,,causal,official_navsim,scorer_press,random,topk,zero,last_history,1,1,0.923629264621273,0.0,,,,,195.0,0.0,390.0,0.5,0.25,,,,,35.05127690732479,0.0,682.52426199615,0.0,682.52426199615,0.0,23286.94921875,0.0,23286.94921875,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/official_all_methods_smoke/round01/causal_random_zero
causal_random_mean,1,,causal,official_navsim,scorer_press,random,topk,mean,last_history,1,1,0.9136586203565146,0.0,,,,,195.0,0.0,390.0,0.5,0.25,,,,,1.0590888559818268,0.0,586.3101277500391,0.0,586.3101277500391,0.0,23286.94921875,0.0,23286.94921875,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/official_all_methods_smoke/round01/causal_random_mean
causal_random_shuffle_all,1,,causal,official_navsim,scorer_press,random,topk,shuffle_all,last_history,1,1,0.0,0.0,,,,,195.0,0.0,390.0,0.5,0.25,,,,,1.1349376291036606,0.0,603.2353304326534,0.0,603.2353304326534,0.0,23286.94921875,0.0,23286.94921875,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/official_all_methods_smoke/round01/causal_random_shuffle_all
causal_random_shuffle_drop,1,,causal,official_navsim,scorer_press,random,topk,shuffle_drop,last_history,1,1,0.970285831126063,0.0,,,,,195.0,0.0,390.0,0.5,0.25,,,,,1.1704210191965103,0.0,591.6615258902311,0.0,591.6615258902311,0.0,23286.94921875,0.0,23286.94921875,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/official_all_methods_smoke/round01/causal_random_shuffle_drop
causal_random_shuffle_keep,1,,causal,official_navsim,scorer_press,random,topk,shuffle_keep,last_history,1,1,0.9595412040680463,0.0,,,,,195.0,0.0,390.0,0.5,0.25,,,,,1.025145873427391,0.0,583.4648162126541,0.0,583.4648162126541,0.0,23286.94921875,0.0,23286.94921875,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/official_all_methods_smoke/round01/causal_random_shuffle_keep
causal_token_norm_zero,1,,causal,official_navsim,scorer_press,token_norm,topk,zero,last_history,1,1,0.9366102991793291,0.0,,,,,195.0,0.0,390.0,0.5,0.25,,,,,1.1072121560573578,0.0,576.1504229158163,0.0,576.1504229158163,0.0,23286.94921875,0.0,23286.94921875,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/official_all_methods_smoke/round01/causal_token_norm_zero
causal_token_norm_mean,1,,causal,official_navsim,scorer_press,token_norm,topk,mean,last_history,1,1,0.9031030030282339,0.0,,,,,195.0,0.0,390.0,0.5,0.25,,,,,1.051340252161026,0.0,584.73776653409,0.0,584.73776653409,0.0,23286.94921875,0.0,23286.94921875,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/official_all_methods_smoke/round01/causal_token_norm_mean
causal_attention_zero,1,,causal,official_navsim,scorer_press,action_attention,topk,zero,last_history,1,1,0.9068764417053856,0.0,,,,,195.0,0.0,390.0,0.5,0.25,,,,,4.8414114862680435,0.0,1195.4586673527956,0.0,1195.4586673527956,0.0,23286.94921875,0.0,23286.94921875,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/official_all_methods_smoke/round01/causal_attention_zero
causal_attention_vnorm_zero,1,,causal,official_navsim,scorer_press,action_attention_vnorm,topk,zero,last_history,1,1,0.8932321774730306,0.0,,,,,195.0,0.0,390.0,0.5,0.25,,,,,4.17734868824482,0.0,1189.3952284008265,0.0,1189.3952284008265,0.0,23286.94921875,0.0,23286.94921875,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/official_all_methods_smoke/round01/causal_attention_vnorm_zero
causal_gradient_norm_zero,1,,causal,official_navsim,scorer_press,gradient_norm,topk,zero,last_history,1,1,0.8780951852302813,0.0,,,,,195.0,0.0,390.0,0.5,0.25,,,,,4.258502274751663,0.0,1682.5318820774555,0.0,1682.5318820774555,0.0,34530.533203125,0.0,34530.533203125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/official_all_methods_smoke/round01/causal_gradient_norm_zero
causal_gradient_input_zero,1,,causal,official_navsim,scorer_press,gradient_input,topk,zero,last_history,1,1,0.9120596983954883,0.0,,,,,195.0,0.0,390.0,0.5,0.25,,,,,4.386944696307182,0.0,1633.3377864211798,0.0,1633.3377864211798,0.0,34529.4267578125,0.0,34529.4267578125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/official_all_methods_smoke/round01/causal_gradient_input_zero
