token,valid,rank,infer_time_s,infer_time_ms,infer_mode,skip_video_decode,gpu_mem_alloc_before_mb,gpu_mem_alloc_after_mb,gpu_mem_alloc_peak_mb,gpu_mem_alloc_peak_delta_mb,gpu_mem_reserved_before_mb,gpu_mem_reserved_after_mb,gpu_mem_reserved_peak_mb,gpu_mem_reserved_peak_delta_mb,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,comfort,multiplicative_metrics_prod,weighted_metrics,weighted_metrics_array,pdm_score,score,nuscenes_l2_1s_m,nuscenes_collision_1s_pct,nuscenes_l2_2s_m,nuscenes_collision_2s_pct,nuscenes_l2_3s_m,nuscenes_collision_3s_pct
0000548db87959c2,True,0,0.57600874081254,576.00874081254,trajectory_only,1.0,21762.44482421875,21817.34912109375,23286.94970703125,1524.5048828125,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.8906405013758096,1.0,,1.0,1.0,1.0,,,0.9544335422399207,0.9544335422399207,0.5484112501144409,0.0,1.8293044567108154,0.0,4.62993860244751,0.0
001b34b45b2f50e4,True,0,0.5664937570691109,566.4937570691109,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.10829449445009232,0.0,0.2594117820262909,0.0,0.6653689742088318,0.0
003a1fdca9505c09,True,0,0.5656381193548441,565.6381193548441,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,0.0,0.5,,0.0,1.0,,1.0,1.0,0.0,,,0.0,0.0,0.055678147822618484,0.0,0.3511062264442444,0.0,1.0944987535476685,0.0
006d30e1af265b1e,True,0,0.5662862583994865,566.2862583994865,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.8818840863176293,1.0,,1.0,1.0,1.0,,,0.9507850359656788,0.9507850359656788,0.2638002336025238,0.0,0.2886040210723877,0.0,1.0837256908416748,0.0
00a757f8d4e45f8c,True,0,0.5663183834403753,566.3183834403753,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.9132765781686906,1.0,,1.0,1.0,1.0,,,0.9638652409036211,0.9638652409036211,0.17895172536373138,0.0,0.15057747066020966,0.0,0.38846445083618164,0.0
00f49d71f0eb507b,True,0,0.5666898768395185,566.6898768395185,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.6368776971533081,1.0,,1.0,1.0,1.0,,,0.848699040480545,0.848699040480545,0.5145642757415771,0.0,0.667816698551178,0.0,0.6489508748054504,0.0
012ca60989175c54,True,0,0.5661729015409946,566.1729015409946,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.1952756643295288,0.0,0.08009489625692368,0.0,0.22026507556438446,0.0
013ec5b715635a66,True,0,0.5660511683672667,566.0511683672667,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.06993351876735687,0.0,0.4230630397796631,0.0,0.6366790533065796,0.0
01518f6335d75c16,True,0,0.566226402297616,566.226402297616,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.5843499556288555,1.0,,1.0,1.0,1.0,,,0.8268124815120231,0.8268124815120231,0.13140711188316345,0.0,0.649914026260376,0.0,1.5133565664291382,0.0
018690bcb255590d,True,0,0.5658936724066734,565.8936724066734,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.06673168390989304,0.0,0.18158107995986938,0.0,0.9677062034606934,0.0
01c019a7360f5445,True,0,0.5662667695432901,566.2667695432901,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.7528643628195839,1.0,,1.0,1.0,1.0,,,0.8970268178414932,0.8970268178414932,0.4238494038581848,0.0,1.1470321416854858,0.0,1.7596572637557983,0.0
