token,valid,rank,infer_time_s,infer_time_ms,infer_mode,skip_video_decode,gpu_mem_alloc_before_mb,gpu_mem_alloc_after_mb,gpu_mem_alloc_peak_mb,gpu_mem_alloc_peak_delta_mb,gpu_mem_reserved_before_mb,gpu_mem_reserved_after_mb,gpu_mem_reserved_peak_mb,gpu_mem_reserved_peak_delta_mb,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,comfort,multiplicative_metrics_prod,weighted_metrics,weighted_metrics_array,pdm_score,score,nuscenes_l2_1s_m,nuscenes_collision_1s_pct,nuscenes_l2_2s_m,nuscenes_collision_2s_pct,nuscenes_l2_3s_m,nuscenes_collision_3s_pct
0000548db87959c2,True,0,0.576327720656991,576.327720656991,trajectory_only,1.0,21762.44482421875,21817.34912109375,23286.94970703125,1524.5048828125,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.7853318664307326,1.0,,1.0,1.0,1.0,,,0.9105549443461386,0.9105549443461386,0.5575079321861267,0.0,1.2218681573867798,0.0,2.559340715408325,0.0
001b34b45b2f50e4,True,0,0.5667160749435425,566.7160749435425,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.08510896563529968,0.0,0.27914363145828247,0.0,0.38116738200187683,0.0
003a1fdca9505c09,True,0,0.566841371357441,566.841371357441,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,0.0,1.0,,0.0,1.0,,1.0,1.0,0.0,,,0.0,0.0,0.11802837252616882,0.0,0.119131900370121,0.0,0.6444321274757385,0.0
006d30e1af265b1e,True,0,0.5653723049908876,565.3723049908876,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.668973309400706,1.0,,1.0,1.0,1.0,,,0.8620722122502942,0.8620722122502942,0.5323399305343628,0.0,0.057467345148324966,0.0,0.24687251448631287,0.0
00a757f8d4e45f8c,True,0,0.5674209240823984,567.4209240823984,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.8559663391511177,1.0,,1.0,1.0,1.0,,,0.9399859746462992,0.9399859746462992,0.10876373201608658,0.0,0.5584497451782227,0.0,1.295892357826233,0.0
00f49d71f0eb507b,True,0,0.5659182649105787,565.9182649105787,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.21181107587645137,1.0,,1.0,1.0,1.0,,,0.6715879482818549,0.6715879482818549,0.28872981667518616,0.0,0.849636971950531,0.0,1.7216674089431763,0.0
012ca60989175c54,True,0,0.5657711084932089,565.7711084932089,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.08451636880636215,0.0,0.3241683542728424,0.0,0.18715441226959229,0.0
013ec5b715635a66,True,0,0.5658481456339359,565.8481456339359,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.9834411771683276,1.0,,1.0,1.0,1.0,,,0.9931004904868032,0.9931004904868032,0.26234686374664307,0.0,1.2827454805374146,0.0,2.2666642665863037,0.0
01518f6335d75c16,True,0,0.5659739319235086,565.9739319235086,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.6303385913910138,1.0,,1.0,1.0,1.0,,,0.8459744130795891,0.8459744130795891,0.1508764922618866,0.0,0.5287041068077087,0.0,1.0797433853149414,0.0
018690bcb255590d,True,0,0.5660712197422981,566.0712197422981,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.9373727375076443,1.0,,1.0,1.0,1.0,,,0.9739053072948517,0.9739053072948517,0.36339592933654785,0.0,0.059835340827703476,0.0,0.3998573422431946,0.0
