token,valid,rank,infer_time_s,infer_time_ms,infer_mode,skip_video_decode,gpu_mem_alloc_before_mb,gpu_mem_alloc_after_mb,gpu_mem_alloc_peak_mb,gpu_mem_alloc_peak_delta_mb,gpu_mem_reserved_before_mb,gpu_mem_reserved_after_mb,gpu_mem_reserved_peak_mb,gpu_mem_reserved_peak_delta_mb,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,comfort,multiplicative_metrics_prod,weighted_metrics,weighted_metrics_array,pdm_score,score,nuscenes_l2_1s_m,nuscenes_collision_1s_pct,nuscenes_l2_2s_m,nuscenes_collision_2s_pct,nuscenes_l2_3s_m,nuscenes_collision_3s_pct
0000548db87959c2,True,0,0.6423762012273073,642.3762012273073,trajectory_only,1.0,21762.44482421875,21817.34912109375,23286.94970703125,1524.5048828125,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.822785013980981,0.0,,1.0,1.0,1.0,,,0.5094937558254088,0.5094937558254088,0.829822301864624,0.0,1.8400681018829346,0.0,3.6503841876983643,0.0
001b34b45b2f50e4,True,0,0.5656020641326904,565.6020641326904,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.17130538821220398,0.0,0.25530004501342773,0.0,0.16442014276981354,0.0
003a1fdca9505c09,True,0,0.5654461774975061,565.4461774975061,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,0.0,1.0,,0.0,1.0,,1.0,1.0,0.0,,,0.0,0.0,0.3631792664527893,0.0,0.119131900370121,0.0,1.01603102684021,0.0
006d30e1af265b1e,True,0,0.5662027094513178,566.2027094513178,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.7952634220906998,1.0,,1.0,1.0,1.0,,,0.9146930925377915,0.9146930925377915,0.22082507610321045,0.0,0.13900452852249146,0.0,1.0870745182037354,0.0
00a757f8d4e45f8c,True,0,0.5653047431260347,565.3047431260347,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.9516059772959855,1.0,,1.0,1.0,1.0,,,0.9798358238733273,0.9798358238733273,0.02533070370554924,0.0,0.1803751438856125,0.0,0.5019028782844543,0.0
00f49d71f0eb507b,True,0,0.5662899408489466,566.2899408489466,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.5760536338043282,1.0,,1.0,1.0,1.0,,,0.8233556807518033,0.8233556807518033,0.4811379611492157,0.0,0.37404245138168335,0.0,0.27448365092277527,0.0
012ca60989175c54,True,0,0.5658633448183537,565.8633448183537,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.33127495646476746,0.0,0.44760042428970337,0.0,0.22026507556438446,0.0
013ec5b715635a66,True,0,0.5663935206830502,566.3935206830502,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.40272462368011475,0.0,0.4980761706829071,0.0,0.8377816677093506,0.0
01518f6335d75c16,True,0,0.5661951676011086,566.1951676011086,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.6813043412625271,1.0,,1.0,1.0,1.0,,,0.8672101421927195,0.8672101421927195,0.07773727178573608,0.0,0.020281150937080383,0.0,0.07396093755960464,0.0
018690bcb255590d,True,0,0.5670140702277422,567.0140702277422,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.941880389991533,1.0,,1.0,1.0,1.0,,,0.9757834958298055,0.9757834958298055,0.31555667519569397,0.0,0.33958855271339417,0.0,0.2328469157218933,0.0
01c019a7360f5445,True,0,0.5707024466246367,570.7024466246367,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.7356337886409215,1.0,,1.0,1.0,1.0,,,0.8898474119337173,0.8898474119337173,0.4238494038581848,0.0,1.155786395072937,0.0,2.250600814819336,0.0
01f3a4a21dc2582f,True,0,0.5667958091944456,566.7958091944456,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.5999964218711111,1.0,,1.0,1.0,1.0,,,0.8333318424462964,0.8333318424462964,0.0895579531788826,0.0,0.41526204347610474,0.0,1.0486172437667847,0.0
020ba7462c6f52b3,True,0,0.5665746200829744,566.5746200829744,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.14304858446121216,0.0,0.31141191720962524,0.0,1.0787988901138306,0.0
024d89a3e1e752dc,True,0,0.5707548279315233,570.7548279315233,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.8922907827050006,1.0,,1.0,1.0,1.0,,,0.9551211594604169,0.9551211594604169,0.2294696867465973,0.0,0.18664467334747314,0.0,0.4307059943675995,0.0
0278f1a2ae3b5ae5,True,0,0.5674681141972542,567.4681141972542,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,0.0,1.0,,0.0,1.0,,1.0,1.0,0.0,,,0.0,0.0,0.1969718486070633,0.0,0.29529663920402527,0.0,0.5321058630943298,0.0
02c173ffafdd5be5,True,0,0.5688273869454861,568.8273869454861,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.5062997688665904,1.0,,1.0,1.0,1.0,,,0.7942915703610792,0.7942915703610792,0.2412262111902237,0.0,0.8594541549682617,0.0,0.9514063596725464,0.0
02e3c48291855ae8,True,0,0.5682290475815535,568.2290475815535,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.21552138030529022,0.0,0.6969341039657593,0.0,0.13906775414943695,0.0
03059436fa185bf8,True,0,0.5681317579001188,568.1317579001188,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.7803392354125992,1.0,,1.0,1.0,1.0,,,0.9084746814219163,0.9084746814219163,0.0364079475402832,0.0,1.5744125843048096,0.0,2.4826128482818604,0.0
03503ef42eeb5573,True,0,0.5685591232031584,568.5591232031584,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.7241043506264306,1.0,,1.0,1.0,1.0,,,0.8850434794276794,0.8850434794276794,0.226298987865448,0.0,1.2163646221160889,0.0,2.6764135360717773,0.0
037698dae8d65558,True,0,0.5683510601520538,568.3510601520538,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,0.0,1.0,1.0,,0.0,0.0,,1.0,1.0,0.0,,,0.0,0.0,0.5266150832176208,0.0,0.7526072859764099,0.0,1.1405524015426636,0.0
039e37993d565b25,True,0,0.5684315897524357,568.4315897524357,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.5245671210564222,1.0,,1.0,1.0,1.0,,,0.8019029671068426,0.8019029671068426,1.0920195579528809,0.0,2.9308369159698486,0.0,4.988068103790283,0.0
03c2e332abb25034,True,0,0.5690330751240253,569.0330751240253,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.7335298657417297,0.0,0.10885784029960632,0.0,0.3819195032119751,0.0
04352eb4cb195fde,True,0,0.5689600873738527,568.9600873738527,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.9321837062086429,1.0,,1.0,1.0,1.0,,,0.9717432109202679,0.9717432109202679,0.3293040692806244,0.0,0.8639233112335205,0.0,2.6294033527374268,0.0
0451b850addd591c,True,0,0.5696959476917982,569.6959476917982,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.7231298820367559,1.0,,1.0,1.0,1.0,,,0.8846374508486483,0.8846374508486483,0.17688700556755066,0.0,0.681810736656189,0.0,0.5260435938835144,0.0
04676f5bccee5447,True,0,0.5694440230727196,569.4440230727196,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.1971759336220117,1.0,,1.0,1.0,1.0,,,0.6654899723425048,0.6654899723425048,0.25925692915916443,0.0,1.3736209869384766,0.0,3.606602668762207,0.0
0490beca807c5e9f,True,0,0.5694676320999861,569.4676320999861,trajectory_only,1.0,21817.34912109375,21817.35009765625,23286.95068359375,1469.6015625,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.7896027579288449,1.0,,1.0,1.0,1.0,,,0.9123344824703521,0.9123344824703521,0.33742278814315796,0.0,0.4690898060798645,0.0,1.276218295097351,0.0
