token,valid,rank,infer_time_s,infer_time_ms,infer_mode,skip_video_decode,gpu_mem_alloc_before_mb,gpu_mem_alloc_after_mb,gpu_mem_alloc_peak_mb,gpu_mem_alloc_peak_delta_mb,gpu_mem_reserved_before_mb,gpu_mem_reserved_after_mb,gpu_mem_reserved_peak_mb,gpu_mem_reserved_peak_delta_mb,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,comfort,multiplicative_metrics_prod,weighted_metrics,weighted_metrics_array,pdm_score,score,nuscenes_l2_1s_m,nuscenes_collision_1s_pct,nuscenes_l2_2s_m,nuscenes_collision_2s_pct,nuscenes_l2_3s_m,nuscenes_collision_3s_pct
0000548db87959c2,True,0,0.5639263913035393,563.9263913035393,trajectory_only,1.0,21770.56982421875,21770.57080078125,23300.55908203125,1529.9892578125,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,0.8493276421932827,1.0,,1.0,1.0,1.0,,,0.9372198509138677,0.9372198509138677,0.2858138680458069,0.0,1.4684574604034424,0.0,3.898866653442383,0.0
001b34b45b2f50e4,True,0,0.555346105247736,555.346105247736,trajectory_only,1.0,21770.57080078125,21770.57177734375,23300.56005859375,1529.9892578125,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.08510896563529968,0.0,0.13570758700370789,0.0,0.5893633961677551,0.0
003a1fdca9505c09,True,0,0.556179815903306,556.179815903306,trajectory_only,1.0,21770.57080078125,21770.57177734375,23300.56005859375,1529.9892578125,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,0.9675438474516974,1.0,,1.0,1.0,1.0,,,0.9864766031048738,0.9864766031048738,0.12840516865253448,0.0,0.2535659372806549,0.0,0.5736635327339172,0.0
006d30e1af265b1e,True,0,0.5570827387273312,557.0827387273312,trajectory_only,1.0,21770.57080078125,21770.57177734375,23300.56005859375,1529.9892578125,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,0.9042331804886845,1.0,,1.0,1.0,1.0,,,0.9600971585369519,0.9600971585369519,0.2638002336025238,0.0,0.9096447825431824,0.0,2.1476662158966064,0.0
00a757f8d4e45f8c,True,0,0.5564989987760782,556.4989987760782,trajectory_only,1.0,21770.57080078125,21770.57177734375,23300.56005859375,1529.9892578125,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,0.9363095272380138,1.0,,1.0,1.0,1.0,,,0.973462303015839,0.973462303015839,0.2732764482498169,0.0,0.1510484218597412,0.0,0.37694552540779114,0.0
00f49d71f0eb507b,True,0,0.5570856016129255,557.0856016129255,trajectory_only,1.0,21770.57080078125,21770.57177734375,23300.56005859375,1529.9892578125,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,0.33508857822128724,1.0,,1.0,1.0,1.0,,,0.7229535742588696,0.7229535742588696,0.28872981667518616,0.0,0.44509854912757874,0.0,1.0822025537490845,0.0
012ca60989175c54,True,0,0.5571120027452707,557.1120027452707,trajectory_only,1.0,21770.57080078125,21770.57177734375,23300.56005859375,1529.9892578125,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.1952756643295288,0.0,0.18929509818553925,0.0,0.22026507556438446,0.0
013ec5b715635a66,True,0,0.5566678773611784,556.6678773611784,trajectory_only,1.0,21770.57080078125,21770.57177734375,23300.56005859375,1529.9892578125,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.5751899480819702,0.0,0.3999686539173126,0.0,0.5701480507850647,0.0
01518f6335d75c16,True,0,0.5575744286179543,557.5744286179543,trajectory_only,1.0,21770.57080078125,21770.57177734375,23300.56005859375,1529.9892578125,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,0.6895760013904739,1.0,,1.0,1.0,1.0,,,0.8706566672460309,0.8706566672460309,0.1508764922618866,0.0,0.14348292350769043,0.0,0.25588762760162354,0.0
018690bcb255590d,True,0,0.5582256391644478,558.2256391644478,trajectory_only,1.0,21770.57080078125,21770.57177734375,23300.56005859375,1529.9892578125,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,0.9699507696978965,1.0,,1.0,1.0,1.0,,,0.9874794873741236,0.9874794873741236,0.15566390752792358,0.0,0.17555783689022064,0.0,0.44008567929267883,0.0
01c019a7360f5445,True,0,0.5580865144729614,558.0865144729614,trajectory_only,1.0,21770.57080078125,21770.57177734375,23300.56005859375,1529.9892578125,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,0.7706544530195384,1.0,,1.0,1.0,1.0,,,0.9044393554248077,0.9044393554248077,0.09762411564588547,0.0,0.6625356078147888,0.0,0.7522687315940857,0.0
01f3a4a21dc2582f,True,0,0.5578525420278311,557.8525420278311,trajectory_only,1.0,21770.57080078125,21770.57177734375,23300.56005859375,1529.9892578125,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,0.6870110069542118,1.0,,1.0,1.0,1.0,,,0.869587919564255,0.869587919564255,0.2919430136680603,0.0,0.3030201196670532,0.0,0.3891961872577667,0.0
020ba7462c6f52b3,True,0,0.5588239785283804,558.8239785283804,trajectory_only,1.0,21770.57080078125,21770.57177734375,23300.56005859375,1529.9892578125,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.11332773417234421,0.0,0.5338431000709534,0.0,0.8630801439285278,0.0
